"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LIN28A_transgene",3627.40574643592,11.9731417060233,0.766634163749239,4.1738075029477e-56,5.68430843826447e-52
"ENSMUSG00000046733",470.707253631225,4.8809124209942,0.388855737913544,1.6739825191813e-37,1.1398983964365e-33
"ENSMUSG00000022037",141.343956392213,3.44594206076998,0.27942178160573,5.03832403264239e-36,2.28723116668522e-32
"ENSMUSG00000024349",113.983796217877,4.36950037437234,0.366370909320282,4.30016852425059e-34,1.46409987829422e-30
"ENSMUSG00000031785",258.278694040089,8.46324394456137,0.717163079164195,4.90810950810085e-33,1.33687086781651e-29
"ENSMUSG00000001642",1989.13646045392,-1.91128188437381,0.172014693661244,1.32690859805125e-29,3.01186136614332e-26
"ENSMUSG00000054889",71.5985260661765,6.63959601306512,0.612304205657519,5.65176160021148e-28,1.09959058904686e-24
"ENSMUSG00000001663",76.0158543177861,6.20528231885234,0.595548109089085,2.72528622767373e-26,4.63945914183607e-23
"ENSMUSG00000000184",241.184970886248,3.37157727747452,0.329132850149347,6.04516656282561e-26,9.14768037990244e-23
"ENSMUSG00000024027",55.7697876326782,3.71252116014537,0.369633211538662,7.53338138567872e-25,1.02597121091559e-21
"ENSMUSG00000055148",1141.8785124916,-3.09734159479598,0.312137739711573,2.12828919760973e-24,2.63501550747699e-21
"ENSMUSG00000034825",181.972089128149,4.79909096205138,0.489650256872917,6.19121484019934e-24,7.02651290905623e-21
"ENSMUSG00000009596",105.669907676203,4.87970093882876,0.509160867901905,4.1683420498899e-23,4.36681925980389e-20
"ENSMUSG00000004032",280.810629910095,2.42727352910499,0.253579492025337,9.51276341999302e-23,9.25388035834893e-20
"ENSMUSG00000024033",96.6681783033182,3.63367292635265,0.380481050883826,3.06133283797343e-22,2.77948612802401e-19
"ENSMUSG00000041718",450.008466802067,-1.89675859921652,0.202284170495698,9.34614482189383e-22,7.95532164558576e-19
"ENSMUSG00000004317",126.710884924114,2.5890796351106,0.280684332491638,1.94219712683793e-21,1.55592839237681e-18
"ENSMUSG00000042216",192.677878348974,3.15383835009654,0.346760443240175,1.11768134110336e-20,8.45650121360371e-18
"ENSMUSG00000021953",4812.33013010032,-2.13382651743781,0.239440032461211,4.6027673063787e-20,3.29921515503008e-17
"ENSMUSG00000029426",183.148593630498,-2.61292671604531,0.294001824022719,2.14568955877725e-19,1.46110730504937e-16
"ENSMUSG00000038418",471.304430522085,5.47827572483864,0.638470731432654,5.3335753783111e-19,3.45895062272471e-16
"ENSMUSG00000025726",293.433893492933,-4.10091999107483,0.468780150000097,5.97072104903281e-19,3.69614772576263e-16
"ENSMUSG00000039831",128.07894329646,2.18912895634753,0.252350201705983,6.90258670706732e-19,4.08723166798043e-16
"ENSMUSG00000032846",135.65345555107,2.47918816201296,0.291208026411088,8.47902897871894e-19,4.81149565254888e-16
"ENSMUSG00000033684",118.332679269437,2.50285210463995,0.292134678007761,9.96188672756785e-19,5.42683741370986e-16
"ENSMUSG00000036568",274.617783581249,-2.45317082053539,0.28990837212827,1.27225326258437e-18,6.66416045505252e-16
"ENSMUSG00000001507",76.4686033806691,4.403596356388,0.519794556567816,2.17049219723807e-18,1.0557119012209e-15
"ENSMUSG00000002107",83.1725339558158,2.97047406525894,0.351320112637833,2.13837706433917e-18,1.0557119012209e-15
"ENSMUSG00000021760",44.3735387550245,3.69446072344447,0.443747176618585,2.86912888264965e-18,1.3474022845795e-15
"ENSMUSG00000022139",238.675127539154,3.27186748133492,0.39238490644559,3.24448232547246e-18,1.47288682635365e-15
"ENSMUSG00000037894",25597.160077031,-2.12254989008515,0.252708412717394,3.66868339052006e-18,1.61173545469331e-15
"ENSMUSG00000027712",58.1328520012259,3.05805820473321,0.365410712684547,6.72906526938282e-18,2.8638481219914e-15
"ENSMUSG00000055322",125.250940648862,3.93477518765338,0.4866116959197,9.02753191548321e-18,3.7256350653626e-15
"ENSMUSG00000002881",108.910883453251,3.38427471366903,0.410593318679721,1.13439003540302e-17,4.54389938004522e-15
"ENSMUSG00000025791",94.1043296231914,2.57137287373524,0.314594904429661,1.59083042426066e-17,6.19014844228743e-15
"ENSMUSG00000043629",154.491770417157,-2.27478789376176,0.274527648673863,1.72085007182151e-17,6.51007142448255e-15
"ENSMUSG00000002190",52.5603982987305,3.1746530651183,0.390498924753509,1.79562656860001e-17,6.60936168588204e-15
"ENSMUSG00000057098",174.170484454865,-4.18419485705598,0.513824637868855,2.427177693487e-17,8.698877107263e-15
"ENSMUSG00000042312",53.3670120981299,3.67437448029087,0.443074263462376,3.05467846000676e-17,1.06670938325211e-14
"ENSMUSG00000030605",868.022054298765,3.27376902167592,0.403960762113815,3.26524799543384e-17,1.11173531124534e-14
"ENSMUSG00000023043",53.3815590800775,4.51020402217065,0.55499179266167,3.61124852140317e-17,1.19955106373146e-14
"ENSMUSG00000019124",100.946862640893,2.68954165214844,0.331035035575608,5.16230931203838e-17,1.67394025049168e-14
"ENSMUSG00000026204",89.4812686211825,3.28771472907084,0.413484575144833,7.14095136538852e-17,2.26168875919131e-14
"ENSMUSG00000068748",31.4310354816147,5.45912675450596,0.679531004056358,8.54995175364569e-17,2.64640438483865e-14
"ENSMUSG00000027692",46.2436528012196,3.69248124316372,0.4685415187077,9.84008822961611e-17,2.97804803553649e-14
"ENSMUSG00000040652",525.16849591925,2.11123955699324,0.264226832730358,1.24071311991442e-16,3.67331999567705e-14
"ENSMUSG00000031557",112.165877423772,2.36020442394369,0.292496447224079,1.27215628901802e-16,3.68627585109287e-14
"ENSMUSG00000004044",1124.40025346854,3.09778384486006,0.390385577798596,1.49857601844397e-16,4.2518972489976e-14
"ENSMUSG00000002885",70.1554074327998,5.61814815679925,0.702046926134619,1.75147605903175e-16,4.86803111182723e-14
"ENSMUSG00000064023",86.2659730968113,2.8729149901283,0.370602286884564,3.7381846546354e-16,1.01820673622959e-13
"ENSMUSG00000023827",363.725486199711,2.33292756335883,0.295317173324936,4.21499002716959e-16,1.12556763098084e-13
"ENSMUSG00000029769",189.476124641769,2.87753100661583,0.372433421940846,6.23966673855906e-16,1.63419271754684e-13
"ENSMUSG00000042599",159.341970499486,2.26501817084034,0.293378955022439,1.0987103252817e-15,2.82327092830405e-13
"ENSMUSG00000005873",179.917647938186,2.75114626683374,0.361235665455745,1.34719203710422e-15,3.3426929861032e-13
"ENSMUSG00000031762",15205.7648371144,-2.1793207232299,0.28273494628237,1.34993842599072e-15,3.3426929861032e-13
"ENSMUSG00000042377",66.3056328312187,2.37566831593965,0.308258705122986,1.40206855419486e-15,3.40978064992495e-13
"ENSMUSG00000029205",132.495882250408,-3.03761582246259,0.408060398328898,1.42939304096117e-15,3.41524628506142e-13
"ENSMUSG00000022947",170.740549358651,-3.53506028607744,0.467446425300206,1.66515274902419e-15,3.90995091188972e-13
"ENSMUSG00000022443",640.342895156026,1.33055190157167,0.171529825175344,1.96940679271474e-15,4.54599171355628e-13
"ENSMUSG00000006519",145.058086086408,2.78338109723779,0.360976268805227,2.0957882111125e-15,4.75708994119019e-13
"ENSMUSG00000020186",664.111669825966,-1.43414969868881,0.184438493610765,2.67872661241158e-15,5.98058651384153e-13
"ENSMUSG00000032231",249.208761280908,2.91304999838441,0.391284123869315,6.09729333067745e-15,1.33933932049187e-12
"ENSMUSG00000034320",428.469660180246,1.77001714214107,0.236094973857836,7.20123872049572e-15,1.55672492276875e-12
"ENSMUSG00000028487",196.682958278588,-1.89004777655857,0.252338945684963,9.59129404094147e-15,2.04099739911847e-12
"ENSMUSG00000026305",291.706597875815,2.19245638340138,0.295379595841787,9.95918255991497e-15,2.08667857359203e-12
"ENSMUSG00000026421",269.161837129477,2.16570589276552,0.293356384900278,1.16725738625923e-14,2.40861793082795e-12
